,x,y,radius,img_name
145,1548.0,671.0,11.313708498984761,phMix402_c_2.dcm
146,1463.0,908.0,11.313708498984761,phMix402_c_2.dcm
147,1391.0,1227.0,11.313708498984761,phMix402_c_2.dcm
148,1391.0,1186.0,11.313708498984761,phMix402_c_2.dcm
149,1750.0,1472.0,8.0,phMix402_c_2.dcm
150,1750.0,1127.0,8.0,phMix402_c_2.dcm
151,1746.0,1499.0,8.0,phMix402_c_2.dcm
152,1745.0,466.0,8.0,phMix402_c_2.dcm
153,1729.0,470.0,8.0,phMix402_c_2.dcm
154,1720.0,690.0,8.0,phMix402_c_2.dcm
155,1709.0,753.0,8.0,phMix402_c_2.dcm
156,1708.0,1558.0,8.0,phMix402_c_2.dcm
157,1707.0,932.0,8.0,phMix402_c_2.dcm
158,1700.0,702.0,8.0,phMix402_c_2.dcm
159,1695.0,1521.0,8.0,phMix402_c_2.dcm
160,1693.0,1003.0,8.0,phMix402_c_2.dcm
161,1690.0,986.0,8.0,phMix402_c_2.dcm
162,1690.0,826.0,8.0,phMix402_c_2.dcm
163,1686.0,974.0,8.0,phMix402_c_2.dcm
164,1681.0,800.0,8.0,phMix402_c_2.dcm
165,1656.0,545.0,8.0,phMix402_c_2.dcm
166,1655.0,875.0,8.0,phMix402_c_2.dcm
167,1652.0,809.0,8.0,phMix402_c_2.dcm
168,1632.0,1133.0,8.0,phMix402_c_2.dcm
169,1625.0,874.0,8.0,phMix402_c_2.dcm
170,1464.0,796.0,8.0,phMix402_c_2.dcm
171,1441.0,961.0,8.0,phMix402_c_2.dcm
172,1432.0,1215.0,8.0,phMix402_c_2.dcm
173,1390.0,1245.0,8.0,phMix402_c_2.dcm
174,1581.0,1371.0,181.01933598375626,phMix402_c_3.dcm
175,1519.0,942.0,128.00000000000006,phMix402_c_3.dcm
176,1511.0,1082.0,128.00000000000006,phMix402_c_3.dcm
177,1562.0,799.0,90.50966799187813,phMix402_c_3.dcm
178,1714.0,1245.0,45.25483399593906,phMix402_c_3.dcm
179,1694.0,1060.0,45.25483399593906,phMix402_c_3.dcm
180,1694.0,582.0,45.25483399593906,phMix402_c_3.dcm
181,1691.0,1150.0,45.25483399593906,phMix402_c_3.dcm
182,1722.0,830.0,32.00000000000001,phMix402_c_3.dcm
183,1700.0,1636.0,32.00000000000001,phMix402_c_3.dcm
184,1680.0,1194.0,32.00000000000001,phMix402_c_3.dcm
185,1639.0,997.0,32.00000000000001,phMix402_c_3.dcm
186,1734.0,879.0,22.627416997969526,phMix402_c_3.dcm
187,1698.0,1601.0,22.627416997969526,phMix402_c_3.dcm
188,1584.0,709.0,22.627416997969526,phMix402_c_3.dcm
189,1715.0,711.0,16.000000000000004,phMix402_c_3.dcm
190,1713.0,627.0,16.000000000000004,phMix402_c_3.dcm
191,1687.0,943.0,16.000000000000004,phMix402_c_3.dcm
